Detected m/z (primary)	RT Start	RT Apex	RT End	Charge States	Per-Charge Detected m/z	Num Charge States	Primary Charge	Monoisotopic Mass	Mono m/z (primary)	Summed Intensity	Cross-Charge Support	Num Members
1175.62598	24.1522	24.1522	24.2253	3	z3:1175.6260	1	3	3513.82255	1172.28146	1.3159e5	1	1
633.32629	24.1867	24.2738	24.2738	1	z1:633.3263	1	1	631.31566	632.32294	1.3144e5	1	1
1308.02380	24.1522	24.1867	24.1867	1	z1:1308.0238	1	1	1305.00982	1306.01709	1.3077e5	1	1
500.24677	24.1867	24.1867	24.2738	2	z2:500.2468	1	2	996.47227	499.24341	1.3035e5	1	1
544.35596	24.3087	24.3087	24.3432	2	z2:544.3560	1	2	1084.69065	543.35260	1.3033e5	1	1
1222.59570	24.1522	24.2253	24.2253	3	z3:1222.5957	1	3	3651.72167	1218.24783	1.3015e5	1	1
413.20309	24.1215	24.1522	24.1522	2	z2:413.2031	1	2	822.38493	412.19974	1.2946e5	1	1
1436.65137	24.3432	24.3432	24.3780	3	z3:1436.6514	1	3	4291.88195	1431.63459	1.2946e5	1	1
1333.66907	24.4332	24.4332	24.4808	2	z2:1333.6691	1	2	2658.30010	1330.15733	1.2917e5	1	1
469.24054	24.9363	24.9363	24.9632	5	z5:469.2405	1	5	2332.13612	467.43450	1.2897e5	1	1
447.17062	24.1522	24.2253	24.2253	1	z1:447.1706	1	1	446.16335	447.17062	1.2851e5	1	1
862.38812	24.6205	24.6205	24.6553	1	z1:862.3881	1	1	859.37414	860.38141	1.2719e5	1	1
335.17410	24.3780	24.4332	24.4332	4	z4:335.1741	1	4	1334.66060	334.67243	1.2715e5	1	1
327.65759	24.5127	24.5637	24.5637	4	z4:327.6576	1	4	1304.59456	327.15592	1.2707e5	1	1
607.26752	24.3780	24.4332	24.4332	2	z2:607.2675	1	2	1210.51377	606.26416	1.2688e5	1	1
1330.21606	24.6553	24.6987	24.6987	3	z3:1330.2161	1	3	3974.58275	1325.86819	1.2667e5	1	1
1277.97754	24.7837	24.8730	24.8730	1	z1:1277.9775	1	1	1274.96355	1275.97083	1.2646e5	1	1
409.19565	24.8227	24.8227	24.8730	1	z1:409.1956	1	1	409.19173	410.19900	1.2635e5	1	1
749.36774	24.9125	24.9125	24.9632	2	z2:749.3677	1	2	1492.70750	747.36103	1.2533e5	1	1
1228.63464	24.2738	24.3087	24.3087	1	z1:1228.6346	1	1	1225.62066	1226.62793	1.2506e5	1	1
362.15988	24.5127	24.5637	24.5637	1	z1:362.1599	1	1	361.15261	362.15988	1.2424e5	1	1
1234.65295	24.6987	24.6987	24.7837	2	z2:1234.6530	1	2	2461.27123	1231.64289	1.2396e5	1	1
359.25183	24.1215	24.1867	24.1867	1	z1:359.2518	1	1	357.24120	358.24848	1.2382e5	1	1
455.22385	24.0440	24.0440	24.0783	1	z1:455.2238	1	1	453.21322	454.22049	1.2292e5	1	1
1495.72339	24.6987	24.7448	24.7448	1	z1:1495.7234	1	1	1489.69934	1490.70661	1.2210e5	1	1
415.19214	24.0783	24.1215	24.1215	2	z2:415.1921	1	2	826.36301	414.18878	1.2198e5	1	1
1145.92310	24.1522	24.2253	24.2253	3	z3:1145.9231	1	3	3423.71055	1142.24413	1.2192e5	1	1
581.08179	24.0440	24.1215	24.1215	6	z6:581.0818	1	6	3472.42023	579.74398	1.2170e5	1	1
733.46503	24.0783	24.0783	24.1215	4	z4:733.4650	1	4	2920.80081	731.20748	1.2168e5	1	1
324.14975	24.8730	24.8730	24.9363	1	z1:324.1497	1	1	323.14247	324.14975	1.2087e5	1	1
1386.67993	24.5127	24.5637	24.5637	2	z2:1386.6799	1	2	2762.31512	1382.16483	1.2065e5	1	1
